Popescu et al. 2019,31597962
Vento-Tormo et al. 2018,30429548
Stewart et al. 2019,31604275
James et al. 2020,32066951
Miller et al. 2020,32109386
Park et al. 2020,32079746
Voigt et al. 2019,31712411
Martin et al. 2019,31474370
Madissoon et al. 2020,31892341
Szabo et al. 2019,31624246
Braga et al. 2019,31209336
Miragaia et al. 2019,30737144
Zhang et al. 2018,30479382
Zheng et al. 2017,28091601
Bjorklund et al. 2016,26878113
Smillie et al. 2019,31348891
HCA Immune 2018,https://data.humancellatlas.org/explore/projects/cc95ff89-2e68-4a08-a234-480eca21ce79
Dominguez Conde et al. 2022,35549406
